RECORD,MARKET_NAME,SUBMARKET_NAME,COUNTY,PROPERTY_NAME,PROPERTY_PRIORNAMES,PROPERTY_ADDRESS,PROPERTY_CITY,PROPERTY_STATE,PROPERTY_ZIPCODE,PROPERTY_LATITUDE,PROPERTY_LONGITUDE,PROPERTY_PHONE,PROPERTY_UNITS,PROPERTY_SQFT,PROPERTY_ACRES,PROPERTY_IMPRATING,PROPERTY_LOCRATING,PROPERTY_CURRENT_OCCUPANCY,PROPERTY_CURRENT_RENT,YEAR,MONTH,YEAR_MONTH,RENT_PER_SQFT_ACTUAL
9424,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Villas at Playa Vista - Sausalito,,12855 Runway Road,Playa Vista,CA,90094,33.975993,-118.419612,3108626740,703,666078,9.38,A,B+,97,3757,2019,July,2019 July,3.72
9425,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Villas at Playa Vista - Malibu,,12665 Village Lane,Playa Vista,CA,90094,33.977584,-118.415683,3108626730,491,509857,6.81,A,A,95.9,4130,2019,July,2019 July,3.68
9426,Los Angeles - Metro,El Segundo - Playa del Rey,Los Angeles,Villas at Playa Vista - Montecito,,12852 Runway Road,Playa Vista,CA,90094,33.975706,-118.419274,3108626720,309,343846,5.09,A,A,96.1,4277,2019,July,2019 July,3.48
9427,Los Angeles - Metro,East Hollywood,Los Angeles,1229 Sycamore,St. Tropez,1229 North Sycamore Avenue,Los Angeles,CA,90038,34.0934641,-118.3431141,8882432604,60,33720,0.534,C+,B,95,1749,2019,July,2019 July,2.99
9428,Los Angeles - Metro,East Hollywood,Los Angeles,Santa Fe,,1210 North Cherokee Avenue,Los Angeles,CA,90038,34.0929342,-118.3347218,2133807055,90,43315,0.833,B-,B-,98,1721,2019,July,2019 July,3.69
9429,Los Angeles - Metro,East Hollywood,Los Angeles,Ventana,,1200 North Mansfield Avenue,Los Angeles,CA,90038,34.092827,-118.340047,3234694766,67,44396,0.619,C,C+,91,1974,2019,July,2019 July,2.79
9430,Los Angeles - Metro,Silverlake,Los Angeles,"CitiZen at Virgil Village, The",Marathon Towers,4150 Marathon Street,Los Angeles,CA,90029,34.084336,-118.290703,3106862439,94,94000,0.854,C+,C+,93.6,2859,2019,July,2019 July,2.87
9431,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Le Grande,,1750 North Western Avenue,Los Angeles,CA,90027,34.1030943,-118.3087947,3234406272,84,67000,0.747,C+,C+,100,1946,2019,July,2019 July,2.42
9432,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Russell Court,Tend Investment,5332 Russell Avenue,Los Angeles,CA,90027,34.103837,-118.306299,3234646394,77,51800,0.603,C,C+,70.1,1960,2019,July,2019 July,2.83
9433,Los Angeles - Metro,Silverlake,Los Angeles,5405 Carlton,,5405 Carlton Way,Los Angeles,CA,90027,34.1008423,-118.3072869,3234617409,64,60448,0.591,B-,C+,96.9,2196,2019,July,2019 July,2.43
9434,Los Angeles - Metro,Silverlake,Los Angeles,Saint Andrews,,5555 Harold Way,Los Angeles,CA,90028,34.0995415,-118.3111394,3234651871,70,47820,0.646,C+,C+,98.6,2047,2019,July,2019 July,2.9
9435,Los Angeles - Metro,Mid Wilshire West,Los Angeles,"Abbey, The",,3550 West 6th Street,Los Angeles,CA,90020,34.063369,-118.299809,2132011043,110,80034,0.57,A,B-,97.3,2600,2019,July,2019 July,3.1
9436,Los Angeles - Metro,Hollywood Hills East,Los Angeles,1837 Whitley,Diplomat Apartment Residences,1837 Whitley Avenue,Los Angeles,CA,90028,34.1044259,-118.333747,3234679000,63,38175,0.425,B-,B-,100,1929,2019,July,2019 July,3.36
9437,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Hollywood Town House,,6633 Yucca Street,Los Angeles,CA,90028,34.103358,-118.334279,3234632555,64,38400,0.39,C+,B-,96.9,1764,2019,July,2019 July,3.03
9438,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Whitley Lofts,,1853 Whitley Avenue,Los Angeles,CA,90028,34.1047,-118.333748,3234613253,63,33445,0.425,C+,B-,100,2093,2019,July,2019 July,3.76
9439,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Duet on Wilcox,"VIDA Hollywood, Victor of Hollywood, The / Hollywood Studio Club",1745 Wilcox Avenue,Los Angeles,CA,90028,34.10293,-118.33153,3234664450,345,169870,1.983,C+,C+,95.1,2191,2019,July,2019 July,4.04
9440,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Hollywood Terrace,,6550 Yucca Street,Los Angeles,CA,90028,34.103115,-118.33278,3234695782,100,100000,0.89,B-,B-,96.9,2041,2019,July,2019 July,2.24
9441,Los Angeles - Metro,Catalina Island,Los Angeles,Tremont Street,,343 Tremont Street,Avalon,CA,90704,33.341637,-118.330921,3105101566,62,58962,1.66,B-,A+,NA,1941,2019,July,2019 July,1.94
9442,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Rodeo,,6619 Leland Way,Los Angeles,CA,90028,34.0971837,-118.334098,4242576663,93,83600,0.864,C+,C+,86,2044,2019,July,2019 July,2.37
9443,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Regency Manor,,7205 Hollywood Blvd,Los Angeles,CA,90046,34.1017837,-118.3469957,3238512389,120,74200,0.714,C,B-,96.7,2021,2019,July,2019 July,3.03
9444,Los Angeles - Metro,Gardena,Los Angeles,Gardena Royale,,16201 South Figueroa Street,Gardena,CA,90248,33.884187,-118.283133,3107191730,90,52700,1.69,C-,C,96.7,1579,2019,July,2019 July,2.62
9445,Los Angeles - Metro,Gardena,Los Angeles,Fig Tree,,16521 South Figueroa Street,Gardena,CA,90248,33.881006,-118.283091,3105168868,88,57548,1.4,C,C,98.9,1385,2019,July,2019 July,2.06
9446,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Summit, The",Summit,7266 Franklin Avenue,Los Angeles,CA,90046,34.10292,-118.347981,3238745454,90,76760,0.844,B-,B+,100,2256,2019,July,2019 July,2.64
9447,Los Angeles - Metro,Hollywood Hills East,Los Angeles,"Westbury, The",,1765 North Sycamore Avenue,Los Angeles,CA,90028,34.1032328,-118.343942,3238749909,82,55050,0.505,C+,B-,92.7,1885,2019,July,2019 July,2.73
9448,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Portobello,,1791 North Sycamore Avenue,Los Angeles,CA,90028,34.103809,-118.343646,3238500944,60,49440,0.4,B-,B-,100,1537,2019,July,2019 July,1.79
9449,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Jessica, The",,1611 North Formosa Avenue,Los Angeles,CA,90046,34.1001374,-118.3469819,3238501556,61,52742,0.545,B-,B-,98.4,2602,2019,July,2019 July,2.97
9450,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Lanewood Pines,,7027 Lanewood Avenue,Los Angeles,CA,90028,34.0994992,-118.3422447,3234618648,79,67140,0.743,B-,C+,91.1,2495,2019,July,2019 July,3.1
9451,Los Angeles - Metro,Hollywood Hills West,Los Angeles,UrbanLux Sunset Premium,"Vue Hollywood, Alta Vista Gardens",1425 North Alta Vista Blvd,Los Angeles,CA,90046,34.0967656,-118.347596,3109855253,92,88728,0.802,B-,C+,91.3,3014,2019,July,2019 July,2.97
9452,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Marlon Manor,,1538 North Martel Avenue,Los Angeles,CA,90046,34.0990526,-118.3497335,3238509990,69,51843,0.634,C+,B-,91.3,2373,2019,July,2019 July,3.28
9453,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Fuller Martel,"Avana Sunset, Avalon Sunset, Fuller Martel Plaza",1443 North Fuller Avenue,Los Angeles,CA,90046,34.0972605,-118.3500187,3238762097,82,73862,0.792,B-,B-,97.6,2622,2019,July,2019 July,3.14
9454,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Hollywood Vista,,1417 North Vista Street,Los Angeles,CA,90046,34.0964345,-118.3518643,3238742812,54,47700,0.599,B-,B-,100,2353,2019,July,2019 July,2.46
9455,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Sierra Crest Luxury,,1320 North Sierra Bonita Avenue,Los Angeles,CA,90046,34.09506,-118.35366,3238744406,52,38375,0.34,C+,C+,100,2276,2019,July,2019 July,2.98
9456,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Graystone Manor,,1425 North Sierra Bonita Avenue,Los Angeles,CA,90046,34.097135,-118.354133,3238507566,83,82000,0.761,B-,B-,97.6,2269,2019,July,2019 July,2.35
9457,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Enclave,,7917 Selma Avenue,Los Angeles,CA,90046,34.1003892,-118.362249,3236503777,75,65300,1.378,B-,A-,98.7,2560,2019,July,2019 July,2.78
9458,Los Angeles - Metro,Hollywood Hills West,Los Angeles,Sunset Plaza,,1211 Sunset Plaza Drive,Los Angeles,CA,90069,34.092594,-118.380834,3106591211,55,73355,0.964,B,B+,98.2,4584,2019,July,2019 July,3.83
9459,Los Angeles - Metro,Hollywood Hills West,Los Angeles,"Pinnacle, The","Pinnacle, Pinnacle Luxury",1860 North Fuller Avenue,Los Angeles,CA,90046,34.1049194,-118.3486166,3238506466,84,75180,0.78,B-,B+,100,2641,2019,July,2019 July,3.07
9460,Los Angeles - Metro,Hollywood Hills West,Los Angeles,La Vista Terrace,,7275 Franklin Avenue,Los Angeles,CA,90046,34.1037635,-118.3484245,3238740707,84,69720,0.691,B,B,75,2382,2019,July,2019 July,2.99
9461,Los Angeles - Metro,Hollywood Hills East,Los Angeles,Las Palmas Villa,,2039 North Las Palmas Avenue,Los Angeles,CA,90068,34.1071968,-118.3365706,3104051320,84,63800,0.807,C+,B,98.8,1872,2019,July,2019 July,2.16
9462,Los Angeles - Metro,Los Feliz - Griffith Park,Los Angeles,Five Star Suites,,2069 Argyle Avenue,Los Angeles,CA,90068,34.1089322,-118.3256772,3234605173,54,48600,0.498,C,B,94.4,2399,2019,July,2019 July,2.8
